Transaction Number,Date,Description,Memo,Amount Debit,Amount Credit,Balance,Check Number,Fees
"20220929000000[-6:CST]*-0.29*0**DHS CSRU conv fee IOWDHS011889010",09/29/2022,"DHS CSRU conv fee IOWDHS011889010","",-0.29,,"24962.53",,0.00
"20220929000000[-6:CST]*-90.19*0**XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490046 227229000247",09/29/2022,"XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490046 227229000247","",-90.19,,"24962.82",,0.00
"20220929000000[-6:CST]*-76.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 546716",09/29/2022,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 546716","",-76.00,,"25053.01",,0.00
"20220928000000[-6:CST]*-125.71*0**CITY OF AMES UT BILL 002629810006826",09/28/2022,"CITY OF AMES UT BILL 002629810006826","",-125.71,,"25129.01",,0.00
"20220928000000[-6:CST]*-42.91*0**XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 04022133 308563",09/28/2022,"XX3498 POS PURCHASE AT PERFECT GAMES AME S IA 04022133 308563","",-42.91,,"25254.72",,0.00
"20220928000000[-6:CST]*-18.66*0**XX3498 POS PURCHASE AT LOTF_1 AMES IA 04 420915 130270",09/28/2022,"XX3498 POS PURCHASE AT LOTF_1 AMES IA 04 420915 130270","",-18.66,,"25297.63",,0.00
"20220928000000[-6:CST]*-7.22*0**XX3498 POS PURCHASE AT LOTF_1 AMES IA 04 420923 712546",09/28/2022,"XX3498 POS PURCHASE AT LOTF_1 AMES IA 04 420923 712546","",-7.22,,"25316.29",,0.00
"20220927000000[-6:CST]*-153.49*0**CITY OF AMES UT BILL 002819790003022",09/27/2022,"CITY OF AMES UT BILL 002819790003022","",-153.49,,"25323.51",,0.00
"20220926000000[-6:CST]*-120.00*0**XX3498 ATM WITHDRAWAL. 119 MAIN ST AMES IA RT35199 009240",09/26/2022,"XX3498 ATM WITHDRAWAL. 119 MAIN ST AMES IA RT35199 009240","",-120.00,,"25477.00",,0.00
"20220926000000[-6:CST]*-25.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 89931729 261593",09/26/2022,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 89931729 261593","",-25.00,,"25597.00",,0.00
"20220926000000[-6:CST]*-21.00*0**XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 76001302 912045",09/26/2022,"XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 76001302 912045","",-21.00,,"25622.00",,0.00
"20220926000000[-6:CST]*-10.57*0**XX3498 POS PURCHASE AT B BOPS AMES NORT AMES IA 21965550 430238",09/26/2022,"XX3498 POS PURCHASE AT B BOPS AMES NORT AMES IA 21965550 430238","",-10.57,,"25643.00",,0.00
"20220926000000[-6:CST]*-10.57*0**XX3498 POS WITHDRAWAL. CASEYS #2905 AMES IA 600001 037543",09/26/2022,"XX3498 POS WITHDRAWAL. CASEYS #2905 AMES IA 600001 037543","",-10.57,,"25653.57",,0.00
"20220926000000[-6:CST]*-3.49*0**ATM WITHDRAWAL FEE XX3498 ATM WITHDRAWAL . 119 MAIN ST AMES IA RT35199 009240",09/26/2022,"ATM WITHDRAWAL FEE XX3498 ATM WITHDRAWAL . 119 MAIN ST AMES IA RT35199 009240","",-3.49,,"25664.14",,0.00
"20220923000000[-6:CST]*-631.01*0**FARMERS INS EFT PYMT mXXXXX5868",09/23/2022,"FARMERS INS EFT PYMT mXXXXX5868","",-631.01,,"25667.63",,0.00
"20220923000000[-6:CST]*-71.94*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 779696",09/23/2022,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 779696","",-71.94,,"26298.64",,0.00
"20220923000000[-6:CST]*-40.75*0**XX3498 POS PURCHASE AT EL CHARRO BAR AN TOLEDO IA 02783787 424154",09/23/2022,"XX3498 POS PURCHASE AT EL CHARRO BAR AN TOLEDO IA 02783787 424154","",-40.75,,"26370.58",,0.00
"20220923000000[-6:CST]*-19.44*0**XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 85969294 781253",09/23/2022,"XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 85969294 781253","",-19.44,,"26411.33",,0.00
"20220922000000[-6:CST]*-22.87*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 064125",09/22/2022,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 064125","",-22.87,,"26430.77",,0.00
"20220921000000[-6:CST]*-21.42*0**Alliant - IPL PAYMENT 0061467186",09/21/2022,"Alliant - IPL PAYMENT 0061467186","",-21.42,,"26453.64",,0.00
"20220921000000[-6:CST]*-36.80*0**XX3498 POS PURCHASE AT MCGRATH AMPHITHE CEDAR RAPIDS IA 48567302 511096",09/21/2022,"XX3498 POS PURCHASE AT MCGRATH AMPHITHE CEDAR RAPIDS IA 48567302 511096","",-36.80,,"26475.06",,0.00
"20220921000000[-6:CST]*-6.74*0**XX3498 POS WITHDRAWAL. CAFE SAINT PIO CEDAR RAPIDS IA 05286431 2264380007",09/21/2022,"XX3498 POS WITHDRAWAL. CAFE SAINT PIO CEDAR RAPIDS IA 05286431 2264380007","",-6.74,,"26511.86",,0.00
"20220920000000[-6:CST]*-55.86*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 001 275776",09/20/2022,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 001 275776","",-55.86,,"26518.60",,0.00
"20220919000000[-6:CST]*-35.00*0**VENMO PAYMENT 1022405213126",09/19/2022,"VENMO PAYMENT 1022405213126","",-35.00,,"26574.46",,0.00
"20220919000000[-6:CST]*-24.60*0**CLUB FEES PLANET FIT 515-620-8880",09/19/2022,"CLUB FEES PLANET FIT 515-620-8880","",-24.60,,"26609.46",,0.00
"20220919000000[-6:CST]*-105.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 82893747 255927",09/19/2022,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 82893747 255927","",-105.00,,"26634.06",,0.00
"20220919000000[-6:CST]*-100.00*0**XX3498 ATM WITHDRAWAL. 405 5TH ST AMES I A IA000614 007973",09/19/2022,"XX3498 ATM WITHDRAWAL. 405 5TH ST AMES I A IA000614 007973","",-100.00,,"26739.06",,0.00
"20220919000000[-6:CST]*-12.00*0**XX3498 POS PURCHASE AT GOODWILL AMES AME S IA 99700161 232390",09/19/2022,"XX3498 POS PURCHASE AT GOODWILL AMES AME S IA 99700161 232390","",-12.00,,"26839.06",,0.00
"20220916000000[-6:CST]*-27.80*0**XX3498 POS PURCHASE AT KWIK STOP LIQUOR AMES IA 68173749 065740",09/16/2022,"XX3498 POS PURCHASE AT KWIK STOP LIQUOR AMES IA 68173749 065740","",-27.80,,"26851.06",,0.00
"20220916000000[-6:CST]*-27.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 337997",09/16/2022,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 337997","",-27.00,,"26878.86",,0.00
"20220916000000[-6:CST]*-25.00*0**XX3498 POS PURCHASE AT SQ *LONDON UNDER Ames IA 29549272 308460",09/16/2022,"XX3498 POS PURCHASE AT SQ *LONDON UNDER Ames IA 29549272 308460","",-25.00,,"26905.86",,0.00
"20220916000000[-6:CST]*-20.00*0**XX3498 POS WITHDRAWAL. HY VEE CLINIC 30 AMES IA 001 864537",09/16/2022,"XX3498 POS WITHDRAWAL. HY VEE CLINIC 30 AMES IA 001 864537","",-20.00,,"26930.86",,0.00
"20220916000000[-6:CST]*-12.67*0**XX3498 POS WITHDRAWAL. FAREWAY STORES # AMES IA 92405701 824000",09/16/2022,"XX3498 POS WITHDRAWAL. FAREWAY STORES # AMES IA 92405701 824000","",-12.67,,"26950.86",,0.00
"20220916000000[-6:CST]*-7.69*0**XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545310 369079",09/16/2022,"XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545310 369079","",-7.69,,"26963.53",,0.00
"20220916000000[-6:CST]*3639.10*501**DONNELLEY FINANC DIRECT DEP 721065311027 L5Z",09/16/2022,"DONNELLEY FINANC DIRECT DEP 721065311027 L5Z","",,3639.10,"26971.22",,0.00
"20220915000000[-6:CST]*-100.00*0**XX3498 ATM WITHDRAWAL. 212 MAIN ST AMES IA RT35204 003178",09/15/2022,"XX3498 ATM WITHDRAWAL. 212 MAIN ST AMES IA RT35204 003178","",-100.00,,"23332.12",,0.00
"20220915000000[-6:CST]*-5.97*0**XX3498 POS WITHDRAWAL. SWIFT STOP 5 AMES IA 00354J26 225879520121",09/15/2022,"XX3498 POS WITHDRAWAL. SWIFT STOP 5 AMES IA 00354J26 225879520121","",-5.97,,"23432.12",,0.00
"20220915000000[-6:CST]*-3.49*0**ATM WITHDRAWAL FEE XX3498 ATM WITHDRAWAL . 212 MAIN ST AMES IA RT35204 003178",09/15/2022,"ATM WITHDRAWAL FEE XX3498 ATM WITHDRAWAL . 212 MAIN ST AMES IA RT35204 003178","",-3.49,,"23438.09",,0.00
"20220914000000[-6:CST]*-240.70*0**VERIZON WIRELESS PAYMENTS 05885909720000 1",09/14/2022,"VERIZON WIRELESS PAYMENTS 05885909720000 1","",-240.70,,"23441.58",,0.00
"20220914000000[-6:CST]*-21.48*0**Alliant - IPL PAYMENT 3836938783",09/14/2022,"Alliant - IPL PAYMENT 3836938783","",-21.48,,"23682.28",,0.00
"20220914000000[-6:CST]*-74.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 025635",09/14/2022,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 025635","",-74.00,,"23703.76",,0.00
"20220913000000[-6:CST]*1.88*501**Interest paid",09/13/2022,"Interest paid","",,1.88,"23777.76",,0.00
"20220912000000[-6:CST]*-83.91*0**XX3498 POS WITHDRAWAL. WAL-MART #0749 AM ES IA 24074901 462229",09/12/2022,"XX3498 POS WITHDRAWAL. WAL-MART #0749 AM ES IA 24074901 462229","",-83.91,,"23775.88",,0.00
"20220912000000[-6:CST]*-22.74*0**XX3498 POS WITHDRAWAL. CASEYS #2301 AMES IA 600001 020462",09/12/2022,"XX3498 POS WITHDRAWAL. CASEYS #2301 AMES IA 600001 020462","",-22.74,,"23859.79",,0.00
"20220912000000[-6:CST]*-5.78*0**XX3498 POS WITHDRAWAL. CASEYS #2905 AMES IA 600001 034681",09/12/2022,"XX3498 POS WITHDRAWAL. CASEYS #2905 AMES IA 600001 034681","",-5.78,,"23882.53",,0.00
"20220909000000[-6:CST]*-36.66*0**XX3498 POS WITHDRAWAL. CASEYS #2301 AMES IA 600001 054097",09/09/2022,"XX3498 POS WITHDRAWAL. CASEYS #2301 AMES IA 600001 054097","",-36.66,,"23888.31",,0.00
"20220909000000[-6:CST]*-20.30*0**XX3498 POS PURCHASE AT SQ *ALLUVIAL BRE Ames IA 41066709 210714",09/09/2022,"XX3498 POS PURCHASE AT SQ *ALLUVIAL BRE Ames IA 41066709 210714","",-20.30,,"23924.97",,0.00
"20220909000000[-6:CST]*-19.00*0**XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 71001926 565163",09/09/2022,"XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 71001926 565163","",-19.00,,"23945.27",,0.00
"20220906000000[-6:CST]*-1773.42*0**CHASE CREDIT CRD AUTOPAY 000000000160023",09/06/2022,"CHASE CREDIT CRD AUTOPAY 000000000160023","",-1773.42,,"23964.27",,0.00
"20220906000000[-6:CST]*-712.75*0**IOWA BANKERS MTG ACH PMT XXXXXX2430",09/06/2022,"IOWA BANKERS MTG ACH PMT XXXXXX2430","",-712.75,,"25737.69",,0.00
"20220906000000[-6:CST]*-200.00*0**XX3498 ATM WITHDRAWAL. 405 5TH ST AMES I A IA000619 002339",09/06/2022,"XX3498 ATM WITHDRAWAL. 405 5TH ST AMES I A IA000619 002339","",-200.00,,"26450.44",,0.00
"20220906000000[-6:CST]*-52.98*0**XX3498 POS PURCHASE AT PHILLIPS 66 - SW AMES IA 22052272 425381",09/06/2022,"XX3498 POS PURCHASE AT PHILLIPS 66 - SW AMES IA 22052272 425381","",-52.98,,"26650.44",,0.00
"20220906000000[-6:CST]*-35.02*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 016708",09/06/2022,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 016708","",-35.02,,"26703.42",,0.00
"20220906000000[-6:CST]*-29.36*0**XX3498 POS WITHDRAWAL. FAREWAY STORES # AMES IA 92405501 035400",09/06/2022,"XX3498 POS WITHDRAWAL. FAREWAY STORES # AMES IA 92405501 035400","",-29.36,,"26738.44",,0.00
"20220906000000[-6:CST]*-28.00*0**XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 75001522 255623",09/06/2022,"XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 75001522 255623","",-28.00,,"26767.80",,0.00
"20220906000000[-6:CST]*-25.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 39362201 649396",09/06/2022,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 39362201 649396","",-25.00,,"26795.80",,0.00
"20220906000000[-6:CST]*-23.00*0**XX3498 POS PURCHASE AT GOODWILL AMES AME S IA 99700095 932918",09/06/2022,"XX3498 POS PURCHASE AT GOODWILL AMES AME S IA 99700095 932918","",-23.00,,"26820.80",,0.00
"20220906000000[-6:CST]*-20.52*0**XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 30897442 629515",09/06/2022,"XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 30897442 629515","",-20.52,,"26843.80",,0.00
"20220906000000[-6:CST]*-10.29*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 039143",09/06/2022,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 039143","",-10.29,,"26864.32",,0.00
"20220902000000[-6:CST]*-200.00*0**VENMO PAYMENT 1022101244724",09/02/2022,"VENMO PAYMENT 1022101244724","",-200.00,,"26874.61",,0.00
"20220902000000[-6:CST]*-27.00*0**XX3498 POS PURCHASE AT SQ *ALLUVIAL BRE Ames IA 01108312 892898",09/02/2022,"XX3498 POS PURCHASE AT SQ *ALLUVIAL BRE Ames IA 01108312 892898","",-27.00,,"27074.61",,0.00
"20220902000000[-6:CST]*-21.22*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 031053",09/02/2022,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 031053","",-21.22,,"27101.61",,0.00
"20220902000000[-6:CST]*3639.10*501**DONNELLEY FINANC DIRECT DEP 797085575815 L5Z",09/02/2022,"DONNELLEY FINANC DIRECT DEP 797085575815 L5Z","",,3639.10,"27122.83",,0.00
"20220901000000[-6:CST]*-35.00*0**VENMO PAYMENT 1022085719802",09/01/2022,"VENMO PAYMENT 1022085719802","",-35.00,,"23483.73",,0.00
"20220901000000[-6:CST]*-43.00*0**XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 76000734 510579",09/01/2022,"XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 76000734 510579","",-43.00,,"23518.73",,0.00
"20220831000000[-6:CST]*-2302.00*0**DHS CSRU IOW DHS IOWDHS011794476",08/31/2022,"DHS CSRU IOW DHS IOWDHS011794476","",-2302.00,,"23561.73",,0.00
"20220831000000[-6:CST]*-0.29*0**DHS CSRU conv fee IOWDHS011794477",08/31/2022,"DHS CSRU conv fee IOWDHS011794477","",-0.29,,"25863.73",,0.00
"20220831000000[-6:CST]*-108.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 635490",08/31/2022,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 635490","",-108.00,,"25864.02",,0.00
"20220831000000[-6:CST]*-32.64*0**XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 37926040 806208",08/31/2022,"XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 37926040 806208","",-32.64,,"25972.02",,0.00
"20220831000000[-6:CST]*-10.00*0**XX3498 POS PURCHASE AT SQ *LONDON UNDER Ames IA 71679235 586678",08/31/2022,"XX3498 POS PURCHASE AT SQ *LONDON UNDER Ames IA 71679235 586678","",-10.00,,"26004.66",,0.00
"20220830000000[-6:CST]*-200.00*0**XX3498 ATM WITHDRAWAL. 405 5TH ST AMES I A IA000619 002241",08/30/2022,"XX3498 ATM WITHDRAWAL. 405 5TH ST AMES I A IA000619 002241","",-200.00,,"26014.66",,0.00
"20220829000000[-6:CST]*-72.92*0**XX3498 POS WITHDRAWAL. Epic Spirits New York NY 00716873 152727",08/29/2022,"XX3498 POS WITHDRAWAL. Epic Spirits New York NY 00716873 152727","",-72.92,,"26214.66",,0.00
"20220829000000[-6:CST]*-55.46*0**XX3498 POS PURCHASE AT SANDBAR-MARQUIS NEW YORK NY 47833265 965237",08/29/2022,"XX3498 POS PURCHASE AT SANDBAR-MARQUIS NEW YORK NY 47833265 965237","",-55.46,,"26287.58",,0.00
"20220829000000[-6:CST]*-31.00*0**XX3498 POS PURCHASE AT NY PENN STA 50 NEW YORK NY 80737217 889091",08/29/2022,"XX3498 POS PURCHASE AT NY PENN STA 50 NEW YORK NY 80737217 889091","",-31.00,,"26343.04",,0.00
"20220829000000[-6:CST]*-10.38*0**XX3498 POS PURCHASE AT HEALTHY CHOICE G NEW YORK NY 17701068 335315",08/29/2022,"XX3498 POS PURCHASE AT HEALTHY CHOICE G NEW YORK NY 17701068 335315","",-10.38,,"26374.04",,0.00
"20220829000000[-6:CST]*-9.53*0**XX3498 POS PURCHASE AT SQ *THE BEAN New York NY 19276286 402296",08/29/2022,"XX3498 POS PURCHASE AT SQ *THE BEAN New York NY 19276286 402296","",-9.53,,"26384.42",,0.00
"20220829000000[-6:CST]*-6.53*0**XX3498 POS PURCHASE AT SQ *STUMPTOWN CO New York NY 11096352 614147",08/29/2022,"XX3498 POS PURCHASE AT SQ *STUMPTOWN CO New York NY 11096352 614147","",-6.53,,"26393.95",,0.00
"20220829000000[-6:CST]*-5.88*0**XX3498 POS PURCHASE AT SQ *BAGEL PUB CH New York NY 58554939 231565",08/29/2022,"XX3498 POS PURCHASE AT SQ *BAGEL PUB CH New York NY 58554939 231565","",-5.88,,"26400.48",,0.00
"20220829000000[-6:CST]*-4.58*0**XX3498 POS WITHDRAWAL. KUMGO 0131 HUXL HUXLEY IA 001 786703",08/29/2022,"XX3498 POS WITHDRAWAL. KUM&GO 0131 HUXL HUXLEY IA 001 786703","",-4.58,,"26406.36",,0.00
"20220826000000[-6:CST]*-136.92*0**CITY OF AMES UT BILL 002629810006826",08/26/2022,"CITY OF AMES UT BILL 002629810006826","",-136.92,,"26410.94",,0.00
"20220826000000[-6:CST]*-16.00*0**XX3498 POS PURCHASE AT MSG CONCESSIONS NEW YORK NY 89633402 617145",08/26/2022,"XX3498 POS PURCHASE AT MSG CONCESSIONS NEW YORK NY 89633402 617145","",-16.00,,"26547.86",,0.00
"20220826000000[-6:CST]*-13.00*0**XX3498 POS WITHDRAWAL. WHOLEFDS 95 E H NEW YORK NY 74681002 130397",08/26/2022,"XX3498 POS WITHDRAWAL. WHOLEFDS 95 E H NEW YORK NY 74681002 130397","",-13.00,,"26563.86",,0.00
"20220826000000[-6:CST]*-11.50*0**XX3498 POS PURCHASE AT SQ *THE PICKLE G New York NY 83502275 100207",08/26/2022,"XX3498 POS PURCHASE AT SQ *THE PICKLE G New York NY 83502275 100207","",-11.50,,"26576.86",,0.00
"20220826000000[-6:CST]*-6.98*0**XX3498 POS PURCHASE AT BRAVO PIZZA NEW YORK NY 16602502 834707",08/26/2022,"XX3498 POS PURCHASE AT BRAVO PIZZA NEW YORK NY 16602502 834707","",-6.98,,"26588.36",,0.00
"20220825000000[-6:CST]*-11.97*0**XX3498 POS PURCHASE AT TST* Caffe Lodi NEW YORK NY 66449537 633473",08/25/2022,"XX3498 POS PURCHASE AT TST* Caffe Lodi NEW YORK NY 66449537 633473","",-11.97,,"26595.34",,0.00
"20220825000000[-6:CST]*-3.49*0**XX3498 POS PURCHASE AT TST* PARIS BAGUE NEW YORK NY 97196283 111580",08/25/2022,"XX3498 POS PURCHASE AT TST* PARIS BAGUE NEW YORK NY 97196283 111580","",-3.49,,"26607.31",,0.00
"20220824000000[-6:CST]*-146.20*0**CITY OF AMES UT BILL 002819790003022",08/24/2022,"CITY OF AMES UT BILL 002819790003022","",-146.20,,"26610.80",,0.00
"20220824000000[-6:CST]*-20.03*0**XX3498 POS PURCHASE AT SQ *SEED + MILL NEW YORK NY 56203320 866391",08/24/2022,"XX3498 POS PURCHASE AT SQ *SEED + MILL NEW YORK NY 56203320 866391","",-20.03,,"26757.00",,0.00
"20220824000000[-6:CST]*-17.20*0**XX3498 POS PURCHASE AT TST* Ess-a-Bagel New York NY 51100358 925033",08/24/2022,"XX3498 POS PURCHASE AT TST* Ess-a-Bagel New York NY 51100358 925033","",-17.20,,"26777.03",,0.00
"20220824000000[-6:CST]*-15.87*0**XX3498 POS WITHDRAWAL. TRADER JOE'S # NEW YORK NY 69454311 078120",08/24/2022,"XX3498 POS WITHDRAWAL. TRADER JOE'S # NEW YORK NY 69454311 078120","",-15.87,,"26794.23",,0.00
"20220824000000[-6:CST]*-13.28*0**XX3498 POS WITHDRAWAL. WHOLEFDS 250 7T NEW YORK NY 99583001 060846",08/24/2022,"XX3498 POS WITHDRAWAL. WHOLEFDS 250 7T NEW YORK NY 99583001 060846","",-13.28,,"26810.10",,0.00
"20220824000000[-6:CST]*-10.51*0**XX3498 POS PURCHASE AT FRESH 2 GO MARKE NEW YORK NY 19988063 018163",08/24/2022,"XX3498 POS PURCHASE AT FRESH 2 GO MARKE NEW YORK NY 19988063 018163","",-10.51,,"26823.38",,0.00
"20220824000000[-6:CST]*-9.23*0**XX3498 POS WITHDRAWAL. FAIRWAY MARKET O NEW YORK NY 001 223616913685",08/24/2022,"XX3498 POS WITHDRAWAL. FAIRWAY MARKET O NEW YORK NY 001 223616913685","",-9.23,,"26833.89",,0.00
"20220824000000[-6:CST]*-5.99*0**XX3498 POS WITHDRAWAL. WESTSIDE MARKET- NEW YORK NY 50010601 566448",08/24/2022,"XX3498 POS WITHDRAWAL. WESTSIDE MARKET- NEW YORK NY 50010601 566448","",-5.99,,"26843.12",,0.00
"20220823000000[-6:CST]*-758.00*0**FARMERS INS EFT PYMT mXXXXX5868",08/23/2022,"FARMERS INS EFT PYMT mXXXXX5868","",-758.00,,"26849.11",,0.00
"20220823000000[-6:CST]*-34.00*0**XX3498 POS PURCHASE AT MTA*METROCARD MA NEW YORK NY 15664183 433780",08/23/2022,"XX3498 POS PURCHASE AT MTA*METROCARD MA NEW YORK NY 15664183 433780","",-34.00,,"27607.11",,0.00
"20220823000000[-6:CST]*-12.00*0**XX3498 POS PURCHASE AT MTA*METROCARD MA NEW YORK NY 15664688 032416",08/23/2022,"XX3498 POS PURCHASE AT MTA*METROCARD MA NEW YORK NY 15664688 032416","",-12.00,,"27641.11",,0.00
"20220822000000[-6:CST]*-35.00*0**VENMO PAYMENT 1021906314052",08/22/2022,"VENMO PAYMENT 1021906314052","",-35.00,,"27653.11",,0.00
"20220822000000[-6:CST]*-34.37*0**XX3498 POS WITHDRAWAL. TRADER JOE'S # NEW YORK NY 69454322 441213",08/22/2022,"XX3498 POS WITHDRAWAL. TRADER JOE'S # NEW YORK NY 69454322 441213","",-34.37,,"27688.11",,0.00
"20220822000000[-6:CST]*-33.50*0**XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 91416057 700533",08/22/2022,"XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 91416057 700533","",-33.50,,"27722.48",,0.00
"20220822000000[-6:CST]*-25.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 85719592 753969",08/22/2022,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 85719592 753969","",-25.00,,"27755.98",,0.00
"20220822000000[-6:CST]*-12.30*0**XX3498 POS PURCHASE AT ABERLARDOSMEXICA AMES IA 10305858 016984",08/22/2022,"XX3498 POS PURCHASE AT ABERLARDOSMEXICA AMES IA 10305858 016984","",-12.30,,"27780.98",,0.00
"20220819000000[-6:CST]*-16.91*0**Alliant - IPL PAYMENT 0061467186",08/19/2022,"Alliant - IPL PAYMENT 0061467186","",-16.91,,"27793.28",,0.00
"20220819000000[-6:CST]*-42.36*0**XX3498 POS WITHDRAWAL. FAREWAY STORES # AMES IA 92405701 095900",08/19/2022,"XX3498 POS WITHDRAWAL. FAREWAY STORES # AMES IA 92405701 095900","",-42.36,,"27810.19",,0.00
"20220819000000[-6:CST]*-26.59*0**XX3498 POS WITHDRAWAL. HY VEE CLINIC 30 AMES IA 001 068787",08/19/2022,"XX3498 POS WITHDRAWAL. HY VEE CLINIC 30 AMES IA 001 068787","",-26.59,,"27852.55",,0.00
"20220819000000[-6:CST]*-400.00*0**Miscellaneous Debit",08/19/2022,"Miscellaneous Debit","",-400.00,,"27879.14",,0.00
"20220819000000[-6:CST]*3639.11*501**DONNELLEY FINANC DIRECT DEP 933024318641 L5Z",08/19/2022,"DONNELLEY FINANC DIRECT DEP 933024318641 L5Z","",,3639.11,"28279.14",,0.00
"20220818000000[-6:CST]*-25.65*0**XX3498 POS WITHDRAWAL. WALGREENS 2719 G AMES IA 12108T21 013374",08/18/2022,"XX3498 POS WITHDRAWAL. WALGREENS 2719 G AMES IA 12108T21 013374","",-25.65,,"24640.03",,0.00
"20220817000000[-6:CST]*-24.60*0**CLUB FEES PLANET FIT 515-620-8880",08/17/2022,"CLUB FEES PLANET FIT 515-620-8880","",-24.60,,"24665.68",,0.00
"20220817000000[-6:CST]*-13.28*0**XX3498 POS WITHDRAWAL. WALGREENS 2719 G AMES IA 12108T21 142654",08/17/2022,"XX3498 POS WITHDRAWAL. WALGREENS 2719 G AMES IA 12108T21 142654","",-13.28,,"24690.28",,0.00
"20220816000000[-6:CST]*-14150.00*1*1041*Check",08/16/2022,"Check","",-14150.00,,"24703.56",1041,0.00
"20220816000000[-6:CST]*-240.70*0**VERIZON WIRELESS PAYMENTS 05885909720000 1",08/16/2022,"VERIZON WIRELESS PAYMENTS 05885909720000 1","",-240.70,,"38853.56",,0.00
"20220816000000[-6:CST]*-52.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 176311",08/16/2022,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 176311","",-52.00,,"39094.26",,0.00
"20220815000000[-6:CST]*-535.00*1*1040*Check",08/15/2022,"Check","",-535.00,,"39146.26",1040,0.00
"20220815000000[-6:CST]*-58.82*0**XX3498 POS PURCHASE AT SQ *BLUE FISH HA Ames IA 91926158 096374",08/15/2022,"XX3498 POS PURCHASE AT SQ *BLUE FISH HA Ames IA 91926158 096374","",-58.82,,"39681.26",,0.00
"20220815000000[-6:CST]*-25.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 24284303 315936",08/15/2022,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 24284303 315936","",-25.00,,"39740.08",,0.00
"20220815000000[-6:CST]*-15.26*0**XX3498 POS WITHDRAWAL. KUMGO 1113 AMES AMES IA 001 628928",08/15/2022,"XX3498 POS WITHDRAWAL. KUM&GO 1113 AMES AMES IA 001 628928","",-15.26,,"39765.08",,0.00
